"id_autor","nombre","nacionalidad"
1,"Gabriel García Márquez","Colombiana"
2,"Isabel Allende","Chilena"
3,"Jorge Luis Borges","Argentina"
4,"Mario Vargas Llosa","Peruana"
5,"Julio Cortázar","Argentina"
6,"Paulo Coelho","Brasileña"
7,"J.K. Rowling","Británica"
8,"Stephen King","Estadounidense"
9,"Haruki Murakami","Japonesa"
10,"Toni Morrison","Estadounidense"
11,"George Orwell","Británico"
12,"Virginia Woolf","Británica"
13,"Miguel de Cervantes","Española"
14,"Franz Kafka","Checa"
15,"Leo Tolstoy","Rusa"
